cluster_id,decision_id,decision_date,category,title,sanctions,amount,articles,case_type,snippet
0,10369,2026-01-14,기타,,,,,보유기간·파기 위반;민감정보·고유식별정보,1. 국민건강보험공단은 부당이득 징수 및 구상권 청구를 위하여 건강보험심사평가원으로부터 자동차보험 진료수가 심사와 건강보험 요양급여 심사가 중복 청구된 자동차사고 피해자의 성명ㆍ주민등록번호ㆍ사고일시ㆍ사고접수번호ㆍ상병코드ㆍ진료개시일ㆍ진료종료일ㆍ보험회사명을 제공받을 수 있다. 2. 국민건강보험공단은 부당이득 징수 및 구상권 ...
0,547,2021-09-29,개인정보 제공 요청,법무부의 특정경제사범 업무를 위한 개인정보 목적 외 이용 및 행정안전부ㆍ국세청ㆍ국민건강보험공단ㆍ대법원 보유 개인정보 제공 요청에 관한 건,,,,목적 외 이용,"1. 법무부는 특정경제사범 관리업무를 위하여 출입국정보 및 외국인정보를 이용할 수 있다. 2. 법무부는 특정경제사범 관리업무를 위하여 행정안전부로부터 주민등록상 주소 및 등록면허세 납부정보를, 국세청으로부터 사업자등록정보를, 국민건강보험공단으로부터 건강보험자격득실정보를, 대법원으로부터 법인등기사항정보 및 가족관계등록정보를..."
0,6909,2024-06-16,개인정보 제공 요청,한국사학진흥재단의 폐교대학 교직원 증명 발급 업무를 위한 국민건강보험공단 및 사립학교교직원연금공단 보유 개인정보 제공 요청에 관한 건,,,,목적 외 이용,"한국사학진흥재단은 「고등교육법」에 따라 폐지ㆍ폐쇄된 학교의 교직원에 대한 증명 발급 업무를 수행하기 위하여 입ㆍ퇴사일을 알 수 없는 교직원의 성명ㆍ생년월일ㆍ직장명을 국민건강보험공단 및 사립학교교직원연금공단에 제공하고, 국민건강보험공단으로부터 해당 교직원이 폐지ㆍ폐쇄된 학교의 교직원으로 사용된 날과 그 사용관계가 끝난 날의..."
0,8887,2024-06-16,개인정보 제공 요청,한국사학진흥재단의 폐교대학 교직원 증명 발급 업무를 위한 국민건강보험공단 및 사립학교교직원연금공단 보유 개인정보 제공 요청에 관한 건,,,,목적 외 이용,"한국사학진흥재단은 「고등교육법」에 따라 폐지ㆍ폐쇄된 학교의 교직원에 대한 증명 발급 업무를 수행하기 위하여 입ㆍ퇴사일을 알 수 없는 교직원의 성명ㆍ생년월일ㆍ직장명을 국민건강보험공단 및 사립학교교직원연금공단에 제공하고, 국민건강보험공단으로부터 해당 교직원이 폐지ㆍ폐쇄된 학교의 교직원으로 사용된 날과 그 사용관계가 끝난 날의..."
0,425,2021-11-24,개인정보 제공 요청,보건복지부의 아동학대관련범죄 전력자 취업제한명령 점검ㆍ확인을 위한 국민건강보험공단 보유 개인정보 제공 요청에 관한 건,,,,목적 외 이용,"보건복지부, 교육부, 문화체육부, 여성가족부, 국토교통부로부터 권한의 위임을 받은 특별시ㆍ광역시ㆍ도ㆍ특별자치도, 시ㆍ군ㆍ구 또는 교육청은 아동학대관련범죄 전력자의 취업제한명령 이행 여부 점검ㆍ확인을 위하여 아동관련기관을 운영하거나 아동관련기관에 취업 또는 노무를 제공하고 있는자의 성명, 주민등록번호 또는 외국인등록번호, ..."
0,429,2021-12-22,개인정보 제공 요청,국민건강보험공단의 장기요양인정 조사업무 수행을 위한 질병관리청 보유 개인정보 제공 요청에 관한 건,,,제3조,목적 외 이용,1. 국민건강보험공단은 장기요양인정 조사업무 수행을 위하여 질병관리청으로부터 신청인 및 참석인의 코로나 19 감염병 확진자 또는 자가격리 대상자 여부에 대한 정보를 각 제공받을 수 없다. 2. 「개인정보 보호법」 제3조 제2항에 따라 개인정보처리자는 개인정보를 처리목적에 필요한 범위에서 적합하게 처리해야 하므로 국민건강보...
0,973,2017-08-14,기타,2017 개인정보보호 연차보고서 국회 제출 건,,,제67조,유출·침해;민감정보·고유식별정보;정보주체 권리보장,2017 개인정보보호 연차보고서를 국회에 별첨과 같이 제출한다.
0,47,2018-08-13,기타,2018 개인정보보호 연차보고서 국회 제출 건,,,제67조,유출·침해;민감정보·고유식별정보;정보주체 권리보장,2018 개인정보보호 연차보고서를 국회에 별첨과 같이 제출한다.
0,423,2013-03-11,법규 위반·제재,인천광역시의 체납자 과태료 징수를 위한 개인정보 제3자 제공 요청 건,,,,유출·침해;제3자 제공,인천광역시의 국민건강보험공단에 대한 가입자 직장정보 제공요청의 건은 기각한다.
0,1829,2022-10-19,개인정보 제공 요청,세브란스병원의 환자 전원을 위한 국민건강보험공단 보유 개인정보 제공 요청에 관한 건,,,제18조,목적 외 이용,세브란스병원은 중국 국적의 의식이 없는 무연고 응급환자의 응급수술 후 보건복지부의'외국인근로자 등 의료지원사업’에 따른 의료비 지원 심사 및 국ㆍ공립 병원으로의 전원을 위하여 「개인정보 보호법」 제18조 제2항 제3호 따라 국민건강보험공단으로부터 근로사실 확인을 위한 건강보험 직장가입 정보를 제공받을 수 있다.
